,compn,exp.pKa,pred.pKa,M.U.E
1124,trans1cyanocyclohexane2carboxylic_neut->an (+0 -> -1),3.87,4.2221874313137455,0.3521874313137454
1125,trans2bromocinnamic_neut->an (+0 -> -1),4.41,4.1553880851022775,0.2546119148977226
1126,trans4cyclohexene12dicarboxylic_an->2an (-1 -> -2),5.81,5.444786791665791,0.36521320833420834
1127,trans4cyclohexene12dicarboxylic_neut->an (+0 -> -1),3.95,4.241259067294735,0.2912590672947344
1128,trans4hydroxyproline_cation->neut (+1 -> +0),1.82,1.6965653497616708,0.12343465023832922
1129,trans4hydroxyproline_neut->an (+0 -> -1),9.66,10.072770870540968,0.4127708705409674
1130,transchloroacrylic_neut->an (+0 -> -1),3.32,3.756053369826488,0.43605336982648835
1131,transcinnamic_neut->an (+0 -> -1),4.45,4.652423208895083,0.20242320889508303
1132,transcrotonic_neut->an (+0 -> -1),4.68,4.486284290509584,0.19371570949041583
1133,transcyclohexanediamine_2cation->cation (+2 -> +1),6.34,5.674632600236915,0.6653673997630847
1134,transcyclohexanediamine_cation->neut (+1 -> +0),9.74,10.220060209816992,0.48006020981699216
1135,transethyleneoxidedicarboxylic_an->2an (-1 -> -2),3.25,3.6658010196336512,0.41580101963365124
1136,transethyleneoxidedicarboxylic_neut->an (+0 -> -1),1.93,2.2728769450155957,0.34287694501559574
1137,triacetylmethane_neut->an (+0 -> -1),5.85,5.150150926301557,0.6998490736984424
1138,tribromoacetic_neut->an (+0 -> -1),0.72,0.8750990953950204,0.15509909539502043
1139,trichloroacetic_neut->an (+0 -> -1),0.52,0.18687024601753244,0.3331297539824676
1140,trichloroacrilic_neut->an (+0 -> -1),1.15,2.170070042728242,1.0200700427282423
1141,trichloroetanamine_cation->neut (+1 -> +0),5.47,4.499277448684161,0.9707225513158386
1142,trichloroethanol_neut->an (+0 -> -1),12.02,11.861715272810823,0.15828472718917652
1143,trichloromethylphosphonic_an->2an (-1 -> -2),4.71,4.490548291721883,0.21945170827811733
1144,triethylamine_cation->neut (+1 -> +0),10.72,10.27275582800031,0.44724417199969047
1145,trifluoroacetic_neut->an (+0 -> -1),0.5,0.040344050309480295,0.4596559496905197
1146,trifluoroacrilic_neut->an (+0 -> -1),1.79,2.019814188206329,0.22981418820632893
1147,trifluoroethanol_neut->an (+0 -> -1),12.43,12.619209118892012,0.18920911889201264
1148,trimethylamine_cation->neut (+1 -> +0),9.8,9.781406524980618,0.01859347501938302
1149,trinitromethane_neut->an (+0 -> -1),0.06,-0.3999294043672066,0.4599294043672066
1150,triphenylacetic_neut->an (+0 -> -1),3.96,3.894786602503995,0.06521339749600497
1151,tromethamine_cation->neut (+1 -> +0),8.08,7.704773685405474,0.37522631459452604
1152,tropacocaine_cation->neut (+1 -> +0),9.51,9.083642356130895,0.426357643869105
1153,tropine_cation->neut (+1 -> +0),10.33,10.39639325409739,0.06639325409738994
1154,tropolone_cation->neut (+1 -> +0),-0.5,0.46483991786536993,0.9648399178653699
1155,tropolone_neut->an (+0 -> -1),6.9,6.329005779287669,0.5709942207123317
1156,tryphtophan_cation->neut (+1 -> +0),2.38,2.0728323899374894,0.3071676100625105
1157,tryphtophan_neut->an (+0 -> -1),9.39,9.535086958751211,0.14508695875121091
1158,tyramine_cation->neut (+1 -> +0),9.74,9.553262828427776,0.18673717157222391
1159,tyramine_neut->an (+0 -> -1),10.52,10.142922688580263,0.3770773114197361
1160,tyrosineamide_cation->neut (+1 -> +0),7.48,7.461767725646744,0.018232274353256805
1161,tyrosineamide_neut->an (+0 -> -1),9.89,10.201334841558317,0.3113348415583168
1162,tyrosine_cation->neut (+1 -> +0),2.18,2.113495122413677,0.06650487758632329
1163,tyrosine_neut->an (+0 -> -1),9.11,9.298371237777218,0.18837123777721843
1164,tyrosine_an->2an (-1 -> -2),10.6,10.671447870572504,0.0714478705725039
1165,uracil_neut->an (+0 -> -1),9.4,9.098186019143593,0.30181398085640687
1166,urazole_neut->an (+0 -> -1),5.8,6.690264876780565,0.8902648767805648
1167,uric_neut->an (+0 -> -1),5.4,5.8172764376628345,0.4172764376628342
1168,uric_an->2an (-1 -> -2),9.8,10.08615731622098,0.2861573162209794
1169,valineamide_cation->neut (+1 -> +0),8.0,7.967545392421869,0.032454607578131345
1170,valine_cation->neut (+1 -> +0),2.3,2.6226149940704593,0.32261499407045946
1171,valine_neut->an (+0 -> -1),9.79,10.13379431816199,0.34379431816199
1172,valinemethylester_cation->neut (+1 -> +0),7.49,7.7235871555839495,0.23358715558394927
1173,vanillin_neut->an (+0 -> -1),7.4,7.128285290851298,0.27171470914870266
1174,veronal_neut->an (+0 -> -1),8.02,8.303355879123465,0.2833558791234658
1175,vinylalcohol_neut->an (+0 -> -1),15.52,14.95555731786624,0.5644426821337589
1176,2367tetrahydroimiazo12apyrimidin51hone_cation->neut (+1 -> +0),8.25,8.480744885108539,0.23074488510853897
1177,5678tetrahydropteridine_cation->neut (+1 -> +0),6.63,7.0619249847876056,0.43192498478760566
